material_id,formula,chemsys,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,elements,crystal_system,spacegroup,is_stable,cif_path
mp-684978,Sc29S42,S-Sc,0.0,-1.9321204952200661,0.23137149954225403,1499.7418730739405,2.934623785965033,71,"['S', 'Sc']",Monoclinic,Cm,False,data\tmc_data\cif\mp-684978.cif
mp-1105836,Sc2S3,S-Sc,1.3929,-2.078628673687498,0.093005298999999,399.73057971565817,3.092459446386907,20,"['S', 'Sc']",Orthorhombic,Pnma,False,data\tmc_data\cif\mp-1105836.cif
mp-401,Sc2S3,S-Sc,1.034999999999999,-2.171633972687499,0.0,428.62771743663023,2.883972633977312,20,"['S', 'Sc']",Orthorhombic,Fddd,True,data\tmc_data\cif\mp-401.cif
mp-684969,Sc2S3,S-Sc,0.927999999999999,-2.167943485687499,0.003690487,213.5916809677279,2.893723673250585,10,"['S', 'Sc']",Monoclinic,C2/m,False,data\tmc_data\cif\mp-684969.cif
mp-1476,ScS,S-Sc,0.0,-2.07528723390625,0.0,35.50954359817304,3.601742527824012,2,"['S', 'Sc']",Cubic,Fm-3m,True,data\tmc_data\cif\mp-1476.cif
mp-862373,ScS2,S-Sc,0.0,-1.495295626510416,0.314399350729166,138.583250612177,2.614189199510279,6,"['S', 'Sc']",Tetragonal,P4_2/mnm,False,data\tmc_data\cif\mp-862373.cif
mp-1205354,Sc2Se3,Sc-Se,0.625799999999999,-1.9632202839375021,0.0,487.1980463863951,4.455277227996905,20,"['Sc', 'Se']",Orthorhombic,Fddd,True,data\tmc_data\cif\mp-1205354.cif
mp-1219395,Sc2Se3,Sc-Se,0.624699999999999,-1.9365341714375002,0.026686112500001,122.92980230542254,4.414312723364191,5,"['Sc', 'Se']",Orthorhombic,Immm,False,data\tmc_data\cif\mp-1219395.cif
mp-684690,Sc2Se3,Sc-Se,0.5374,-1.927741243437501,0.035479040500002,243.0247353264645,4.465805422386391,10,"['Sc', 'Se']",Monoclinic,C2/c,False,data\tmc_data\cif\mp-684690.cif
mp-723973,Sc2Se3,Sc-Se,0.0,3.781560182562499,5.744780466500002,244.72533384562328,4.43477250082972,10,"['Sc', 'Se']",Triclinic,P1,False,data\tmc_data\cif\mp-723973.cif
mp-1782,ScSe,Sc-Se,0.0,-1.788663982031248,0.0,40.869937611221395,5.034683801251302,2,"['Sc', 'Se']",Cubic,Fm-3m,True,data\tmc_data\cif\mp-1782.cif
