formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,cbm,vbm
Ag2Bi2S3Cl2,1.6367999999999991,-0.7483002703703701,0.004958104166663,902.3886100216056,5.894385992000153,36.0,4.6206,2.9838
Ag2Bi2SeS3,0.188999999999999,-0.258434457430556,0.055230881736111,188.96003028045283,7.108014722541554,8.0,4.7677,4.578699999999999
Ag2Sn(S2O7)3,2.4602,-1.616673894666667,0.0,2653.4327389864748,3.239771500006885,180.0,2.784399999999999,0.3242
Ag2SnHgS4,0.015699999999999,-0.469528931979166,0.0,410.8585196337488,5.361600318849351,16.0,2.417,2.4013
Ag2W2O7,1.9614,-1.646673068484848,0.032762061136363,327.0583785033833,7.061486275168498,22.0,3.0247,1.0633
Ag2WO4,1.9123999999999999,-1.3470971812797612,0.040094818660714,822.5719406161371,7.486889342065121,56.0,3.20845,1.2960500000000001
Ag2WS4,1.098999999999999,-0.3365074984375,0.092901304910714,699.1869159879776,5.014355634701696,28.0,2.6083,1.5093
Ag3Bi7S12,0.6774999999999991,-0.351237027064392,0.009427595530304,548.8054342214489,6.569616308680433,22.0,5.1324,4.4549
Ag3SbS3,1.4344666666666666,-0.19410661620535433,0.01268271642857,435.2113039073327,5.448914480345986,18.666666666666668,4.2967,2.8622333333333336
Ag4Sn3S8,0.2293,-0.331556197333336,0.007910371833334,1297.6990679139262,5.344248886654139,60.0,4.8255,4.5962
Ag5SbS4,0.5945,-0.164979653625002,0.015285038999998,444.7852730436628,5.893921663282094,20.0,3.7798,3.1853
Ag6SbAsS6,1.441999999999999,-0.178491079419645,0.004927204999997,323.5878658384085,5.317828429409702,14.0,4.3043,2.8623000000000003
Ag6Te4W3O20,2.4678,-1.408657404595959,0.045036119583333,1003.095215981693,6.718062906944417,66.0,4.9119,2.4441
Ag8Sb5As3S16,1.0255,-0.200290888281251,0.015493755703124,718.34658601659,5.107624690147718,32.0,5.176,4.1505
Ag8SnS6,0.535099999999999,-0.204963409791666,0.0,1251.1597547752183,6.232772680959803,60.0,3.2342,2.6991
AgBi(PS3)2,1.183799999999999,-0.338825210782738,0.0,457.3324642244417,4.147865928609672,20.0,4.398,3.2142
AgBi(WO4)2,2.9907,-1.854503409305555,0.01408841765625,337.6116573522881,7.992777992463719,24.0,5.0195,2.0288
AgBi2S3Cl,0.7834000000000001,-0.707342042023809,0.00976725404762,336.52594669837146,6.488452106603947,14.0,5.0518,4.2684
AgBi2WO8,0.1379,-1.396247751805556,0.149225808888886,353.2971309158795,7.874245257448344,24.0,2.7119,2.574
AgBi3PbS6,0.310299999999999,-0.598810868787878,0.020176224545455,565.6213054809639,6.660691535393362,22.0,4.8424,4.5321
AgBi3S5,0.5262,-0.372202277673611,0.0,448.86817991033735,6.622904931039951,18.0,4.8986,4.3724
AgBiPbS3,0.068299999999999,-0.5514059090277761,0.040036299722221,145.92686384687448,7.057910390573253,6.0,5.0797,5.0114
AgBiS2,0.3900749999999995,-0.27628204682291874,0.03246312791666775,181.63079454657446,6.965726575968345,8.0,5.19235,4.802275
AgBiSCl2,1.0752,-0.945593287833334,0.0,251.0431321841321,5.553841211740978,10.0,3.959699999999999,2.8845
AgH4WS4N,1.7101000000000002,-0.59661094560606,0.022874924772727,196.72060021601533,3.697259817031458,11.0,2.8539,1.1438
AgMoH4S4N,1.035999999999999,-0.578132262878787,0.041689485681818,200.268985910678,2.902924702810142,11.0,2.3747,1.3387
AgSb(PbS2)2,0.098099999999999,-0.534248575208331,0.077128788749999,199.43405147142656,6.430269642082305,8.0,5.3443,5.2462
AgSb(S8F3)2,2.7813,-1.14026821361111,0.0,1223.0045445552034,2.326262989380092,48.0,2.8957,0.1144
AgSb3PbS6,0.9576799999999995,-0.4707712044810588,0.08462856771590901,1412.0497942109378,4.665199554162236,52.8,4.42248,3.4647999999999994
AgSbPbS3,0.8204500000000001,-0.5214963715277761,0.0323233458333325,593.7086811461776,5.964646638778376,24.0,5.5059000000000005,4.6854499999999994
