feature,mean_abs_shap
A_X,0.13157073
B_group,0.08776531
delta_AX_X,0.08322512
B_Z,0.07601048
X_Z,0.06669731
delta_AB_X,0.055283595
X_mass,0.052831814
B_X,0.052702386
delta_AX_row,0.049007807
A_group,0.045081556
weighted_group,0.0447979
weighted_X,0.043776345
delta_BX_X,0.042455006
delta_BX_group,0.03824878
weighted_row,0.032264367
A_Z,0.03212312
delta_AB_Z,0.030537795
weighted_mass,0.029911278
weighted_Z,0.02801194
delta_BX_mass,0.025802838
delta_BX_Z,0.025395049
delta_AB_group,0.023972705
B_mass,0.020108204
delta_AX_group,0.01989298
delta_AB_mass,0.019008055
delta_AX_Z,0.012788656
delta_AX_mass,0.011793018
X_X,0.011704105
delta_AB_row,0.011486725
X_group,0.010013775
A_mass,0.009265863
delta_BX_row,0.002771709
A_row,0.0014841942
X_row,0.0
B_row,0.0
