,A_Z,B_Z,X_Z,weighted_Z,delta_AB_Z,delta_AX_Z,delta_BX_Z,A_mass,B_mass,X_mass,weighted_mass,delta_AB_mass,delta_AX_mass,delta_BX_mass,A_X,B_X,X_X,weighted_X,delta_AB_X,delta_AX_X,delta_BX_X,A_row,B_row,X_row,weighted_row,delta_AB_row,delta_AX_row,delta_BX_row,A_group,B_group,X_group,weighted_group,delta_AB_group,delta_AX_group,delta_BX_group
4979,0.020101229,0.10864708,0.028479619,0.009535493,-0.011997362,0.09173658,-0.02888522,0.0025919138,0.019216215,0.02441691,-0.001897628,-0.005575745,0.004215059,-0.03941331,-0.032481056,0.037316233,0.0050775,0.04240856,0.004592699,-0.04371996,-0.043235704,-0.00022143294,0.0,0.0,-0.037916295,0.0038255835,0.10663797,-0.0019902524,-0.0035590795,0.11807834,-0.002817281,-0.025419792,0.02551873,-0.024713973,0.034789387
3071,-0.04509316,0.105924524,-0.14153604,-0.01842445,0.21241541,-0.0011983218,0.0459274,-0.0018845533,0.02223281,-0.13358085,0.009772722,0.05463855,0.0057220412,0.045667905,-0.04855582,0.04439568,0.022730397,0.010891163,0.14797129,-0.07139216,-0.012858384,-0.00024479584,0.0,0.0,-0.022056296,0.042066444,-0.037132766,0.0023023828,-0.004978842,-0.03236024,0.20106763,-0.026474169,-0.012570031,-0.009720758,-0.040520594
6218,0.0038631281,0.050859712,-0.202891,0.013047218,0.053875815,-0.040618654,-0.016932925,0.004674151,0.045611385,-0.20044687,0.021072974,0.00802272,-0.0025385271,0.017751543,-0.09184116,-0.035886396,0.026075495,0.030002518,0.015108892,-0.083319105,0.016351806,-0.00010572172,0.0,0.0,-0.012363536,-0.0024654733,-0.02127217,0.0060618734,0.08980242,0.11130925,-0.08025438,-0.052199055,-0.014741262,0.001403504,0.081181824
3875,-0.0330849,-0.106351815,0.03327812,0.034079645,0.010662841,-0.005582258,0.02021362,-0.0054525873,-0.014569899,0.028697442,-0.0059415195,-0.014670423,-0.0044819904,0.030278651,0.19047852,0.0252777,0.0023574797,0.019091047,0.012462913,0.07776985,0.023191093,-0.00024479584,0.0,0.0,-0.010598965,-0.012262107,-0.03173482,-0.0022737067,-0.021954576,-0.027296124,-0.0023630415,-0.06036486,-0.015504069,-0.008307024,-0.021766817
3866,-0.0330849,-0.106351815,0.03327812,0.034079645,0.010662841,-0.005582258,0.02021362,-0.0054525873,-0.014569899,0.028697442,-0.0059415195,-0.014670423,-0.0044819904,0.030278651,0.19047852,0.0252777,0.0023574797,0.019091047,0.012462913,0.07776985,0.023191093,-0.00024479584,0.0,0.0,-0.010598965,-0.012262107,-0.03173482,-0.0022737067,-0.021954576,-0.027296124,-0.0023630415,-0.06036486,-0.015504069,-0.008307024,-0.021766817
233,0.0010499582,0.0273918,0.039715633,-0.0108084595,0.026252953,-0.0031774254,0.016751407,0.0006211896,-0.009220241,0.032780543,0.024069043,-0.0058101504,-0.028077098,-0.011608771,0.1546994,0.003779219,0.0041101174,-0.022693994,-0.056548383,0.0729537,-0.09951286,-0.0010863129,0.0,0.0,-0.016419405,-0.005439541,0.041534472,0.0016003016,-0.01952604,-0.07192421,-0.007850035,-0.06751475,-0.027787797,-0.022006134,-0.018037476
1554,-0.008832513,0.00911343,0.037958845,-0.044343367,0.018627133,-0.0019567418,-0.006981538,-0.020300278,0.017498344,0.03006929,-0.009135162,0.023043433,-0.0014234101,0.005616401,0.19119756,0.11093761,0.0026044827,-0.01743391,-0.057171304,0.27261248,0.12972663,-0.0009231125,0.0,0.0,-0.051940903,-0.0068705208,-0.010946382,0.003485198,-0.04748628,-0.08335394,-0.004759619,0.0066758697,-0.01661428,0.0013334622,-0.020726606
4466,-0.025425972,0.09886415,0.03426809,0.02688038,-0.035294455,0.0022886824,-0.017944481,-0.001684867,0.021773763,0.028382909,0.05762099,0.047441166,-0.004101263,-0.024825906,0.18983611,0.086798236,0.0023308601,0.028478744,0.05594584,0.08214706,0.123253666,-0.00024479584,0.0,0.0,-0.017305115,-0.024420438,-0.020886693,0.0020189288,-0.008707362,-0.0014901157,-0.0068223914,-0.054320026,-0.011498512,-0.004107891,-0.021308832
2596,0.06994109,-0.1268705,0.026511738,-0.09302928,-0.09775325,-0.023467654,0.016500339,-0.0054525873,-0.018604971,0.015643423,-0.0402575,-0.03148269,-0.0015359167,0.028059212,-0.05343916,0.016838746,0.0027808966,-0.02195072,-0.062148146,-0.031023847,0.009658306,0.010971305,0.0,0.0,0.005557645,-0.019633215,-0.030914111,-0.0019902524,-0.023000427,-0.07797058,-0.0023630415,-0.059105024,-0.014807788,-0.0022926158,-0.03625995
3551,-0.012577136,-0.061061192,0.03631586,-0.07716759,0.012475811,-0.00012679826,-0.00858454,-0.0054525873,0.016136136,0.028697442,-0.06576705,-0.020289153,-0.0039620437,-0.0026683463,0.18297748,0.05717099,0.0018044538,-0.039958876,0.029844314,0.08479117,0.10901669,-0.00024479584,0.0,0.0,0.009455503,-0.009048303,-0.022537926,0.003485198,-0.033738915,-0.07492805,-0.0068137906,-0.005896537,-0.014363819,-0.008177171,-0.029931936
