material_id,formula,prediction,formation_energy_per_atom,crystal_system
mp-1018707,GdSe2,2.3394,-1.7896117877083282,Tetragonal
mp-985831,HfSe2,1.681,-1.564946299374999,Trigonal
mp-976920,Ni9S8,1.9391,-0.610980450588233,Orthorhombic
mp-2495,PrS,2.5128,-2.28349878723958,Cubic
mp-11584,Lu8Te,1.7055,-0.326637986666665,Hexagonal
mp-656,LuS,1.685,-2.108514719739577,Cubic
mp-1546645,Tb8Se15,2.6853,-1.922811256634963,Orthorhombic
mp-7368,Dy2Se3,2.3358,-2.162599036937499,Orthorhombic
mp-554820,ZnS,2.0174,-0.962698349620534,Trigonal
mp-2563,CeSe,1.6962,-2.048877901171872,Cubic
mp-1188175,Gd2Se3,2.483,-2.143875060937501,Orthorhombic
mp-2392,Th2Se5,1.7053,-1.7808861118303572,Orthorhombic
mp-1748,NdS,1.6289,-2.297067545156249,Cubic
mp-2826,Lu2S3,2.0019,-2.354043240354164,Trigonal
mp-8866,La10Se19,1.6402,-2.088301255765087,Tetragonal
mp-814,DySe,1.7996,-1.998425757031249,Cubic
mp-1161,LaSe,1.7554,-2.2639832570312493,Cubic
mp-20973,Ce2S3,2.0135,-2.409448382687498,Orthorhombic
mp-1096430,CeSe2,2.0961,-1.939128129479165,Orthorhombic
mp-1766,TmS,1.6155,-2.17894752140625,Cubic
mp-1674,PrSe,2.4558,-2.105255975364581,Cubic
mp-15179,Pr2S3,2.0068,-2.365342227854165,Orthorhombic
mp-15081,Sm2Se3,2.3371,-2.198047837437499,Orthorhombic
mp-2350,LaS,2.1413,-2.43041202890625,Cubic
mp-32798,La2Se3,1.9169,-2.342295032187499,Tetragonal
mp-567370,Ce3Se4,2.0035,-2.111994037053569,Cubic
mp-438,Nd2S3,1.821,-2.376582331687498,Orthorhombic
mp-510404,GdSe,1.8007,-2.009486029531245,Cubic
mp-530018,Ta27S50,1.6125,-1.394484447961036,Triclinic
mp-32633,Dy6Se11,2.5969,-1.930073411158088,Triclinic
mp-15257,Tb2Se3,2.3061,-2.153581606572918,Orthorhombic
mp-32578,Ce2Se3,1.793,-2.100741785156247,Tetragonal
mp-1556,PuTe,2.249,-1.103204677708326,Cubic
mp-7475,La2S3,2.1512,-2.508305558187499,Orthorhombic
mp-1120781,Ni3Se4,1.7823,-0.359327855892857,Cubic
mp-558229,La10S19,1.6667,-2.205681217877154,Tetragonal
mp-32689,Pr2Se3,2.1945,-2.190777713854166,Tetragonal
mp-224,WS2,1.626,-0.8835800085416661,Hexagonal
mp-29832,Sm10Se19,2.022,-1.934532604730603,Tetragonal
mp-10264,NiTe,2.2198,-0.1904162125,Trigonal
mp-14613,Pr10Se19,1.651,-1.954018044615658,Tetragonal
mp-1217676,Tb8Se15,2.6339,-1.9648437628328792,Monoclinic
mp-1561,TbSe,1.7272,-1.997316124505209,Cubic
mp-15651,NiSe,1.7714,-0.329132801197917,Trigonal
mp-684619,Pr27Se40,2.2104,-2.189709400708956,Triclinic
mp-570668,LaSe2,1.7723,-2.025149987708332,Monoclinic
