material_id,formula,prediction,formation_energy_per_atom,energy_above_hull,crystal_system
mp-1361,IrSe2,1.8979,-0.423941923958333,0.0,Orthorhombic
mp-561375,Pr10S19,1.7084,-2.076629934831175,0.0,Tetragonal
mp-947,Au2S,1.6191,-0.118341825937501,0.0,Cubic
mp-7368,Dy2Se3,1.9271,-2.162599036937499,0.0,Orthorhombic
mp-554820,ZnS,1.9807,-0.962698349620534,0.0,Trigonal
mp-863259,Pm2S3,1.8325,-2.333359986687497,0.0,Trigonal
mp-2142,Te2Os,1.6641,-0.15907392166667,0.0,Cubic
mp-1102515,ZnSe2,2.1087,-0.644161672395833,0.0,Cubic
mp-1508,LaS2,1.6533,-2.142144764791664,0.0,Orthorhombic
mp-2826,Lu2S3,2.1568,-2.354043240354164,0.0,Trigonal
mp-20905,OsS2,1.6587,-0.484088481041671,0.0,Cubic
mp-1180046,NiS2,1.6599,-0.591526538333332,0.0,Monoclinic
mp-10109,NpS,2.182,-1.909519385781251,0.0,Cubic
mp-13568,NdS2,1.7854,-2.015935722708332,0.0,Monoclinic
mp-9888,Ir3Se8,2.2015,-0.361656984772728,0.0,Trigonal
mp-1522,FeS2,1.6493,-0.8474769699999981,0.0,Orthorhombic
mp-20973,Ce2S3,1.8424,-2.409448382687498,0.0,Orthorhombic
mp-2793,AuSe,1.9777,-0.140219074531245,0.0,Monoclinic
mp-15179,Pr2S3,2.0761,-2.365342227854165,0.0,Orthorhombic
mp-1115,PtSe2,1.6651,-0.463916126041667,0.0,Trigonal
mp-555096,PrS2,1.7127,-2.010772799930554,0.0,Monoclinic
mp-2418,PdSe2,2.5623,-0.32612803020833,0.0,Orthorhombic
mp-560786,Nd10S19,1.7605,-2.08380156822198,0.0,Tetragonal
mp-503,ThS,2.3006,-2.02748447640625,0.0,Cubic
mp-438,Nd2S3,1.8214,-2.376582331687498,0.0,Orthorhombic
mp-32633,Dy6Se11,1.9882,-1.930073411158088,0.0,Triclinic
mp-7951,ThSe2,1.61,-2.023257866874994,0.0,Orthorhombic
mp-7475,La2S3,2.0607,-2.508305558187499,0.0,Orthorhombic
mp-1232221,PmSe2,1.7035,-1.883216726041666,0.0,Monoclinic
mp-2480,OsSe2,1.6249,-0.279755602708334,0.0,Cubic
mp-224,WS2,1.6405,-0.8835800085416661,0.0,Hexagonal
mp-32800,Ac2S3,1.9565,-2.4930635934375,0.0,Tetragonal
