id,target,prediction,prediction_std,prediction_0,stable_prediction
mp-3216667,0.0000,0.7757,0.0000,0.7757,1
mp-2089,0.0000,1.4532,0.0000,1.4532,1
mp-685041,0.0000,0.9598,0.0000,0.9598,1
mp-1592,0.0000,-0.0422,0.0000,-0.0422,1
mp-1078945,0.0000,0.8112,0.0000,0.8112,1
mp-638048,0.0000,0.2174,0.0000,0.2174,1
mp-1080294,0.0000,1.7354,0.0000,1.7354,1
mp-608468,0.0000,2.0196,0.0000,2.0196,1
mp-651772,0.0000,1.1755,0.0000,1.1755,1
mp-1023935,0.0000,0.0483,0.0000,0.0483,1
mp-505682,0.0000,0.9079,0.0000,0.9079,1
mp-1361,0.0000,-0.1671,0.0000,-0.1671,1
mp-556815,0.0000,2.0910,0.0000,2.0910,1
mp-1399418,0.0000,-0.0651,0.0000,-0.0651,1
mp-849084,0.0000,0.1655,0.0000,0.1655,1
mp-573,0.0000,0.0919,0.0000,0.0919,1
mp-685066,0.0000,0.5684,0.0000,0.5684,1
mp-567,0.0000,1.6082,0.0000,1.6082,1
mp-203,0.0000,-0.3201,0.0000,-0.3201,1
mp-542333,0.0000,0.3654,0.0000,0.3654,1
mp-1341,0.0000,-0.3928,0.0000,-0.3928,1
mp-1100973,0.0000,-0.0512,0.0000,-0.0512,1
mp-1006886,0.0000,1.6662,0.0000,1.6662,1
mp-1080266,0.0000,1.5008,0.0000,1.5008,1
mp-22297,0.0000,0.0948,0.0000,0.0948,1
mp-556280,0.0000,2.0921,0.0000,2.0921,1
mp-27793,0.0000,-0.8603,0.0000,-0.8603,1
mp-10761,0.0000,-0.3455,0.0000,-0.3455,1
mp-673800,0.0000,1.1082,0.0000,1.1082,1
mp-1229100,0.0000,0.3760,0.0000,0.3760,1
mp-1018707,0.0000,0.9746,0.0000,0.9746,1
mp-561375,0.0000,1.6772,0.0000,1.6772,1
mp-684726,0.0000,0.9527,0.0000,0.9527,1
mp-666176,0.0000,0.7460,0.0000,0.7460,1
mp-401,0.0000,0.6916,0.0000,0.6916,1
mp-1224485,0.0000,1.1256,0.0000,1.1256,1
mp-1018722,0.0000,0.9985,0.0000,0.9985,1
mp-807,0.0000,-0.2718,0.0000,-0.2718,1
