id,model_1,model_2,model_3,final_prediction,uncertainty_std
mp-1080300,1.6265,1.6441,1.6307,1.6337666666666666,0.009192025529410355
mp-1028441,1.478,1.5326,1.5147,1.5084333333333333,0.027834211562990832
mp-555858,1.9752,1.9689,2.0277,1.9906,0.032283587161280436
mp-543011,1.9814,1.9721,2.0322,1.9952333333333332,0.03235001287995622
mp-581476,1.9842,1.9732,2.0343,1.9972333333333332,0.03256844075686357
mp-581258,1.9851,1.9738,2.0351,1.998,0.03262253822129718
mp-581602,1.9851,1.9738,2.0351,1.998,0.03262253822129718
mp-581601,1.9856,1.9738,2.0353,1.9982333333333333,0.032638372099927544
mp-18377,1.9847,1.9734,2.0348,1.9976333333333336,0.03267940227931563
mp-581412,1.9863,1.9742,2.0359,1.9988,0.0326941890861357
